position,positionStringShort,name,positionRow,isCaptain,rating,fantasyScore,minutesPlayed,isGoalkeeper,goal,assist,subbedOutTime,yellowCard,redCard,total_shots,accurate_passes,chances_created,expected_goals(xG),expected_goals_on_target(xGOT),expected_assists(xA),xG+xA,shot_accuracy,blocked_shots,touches,touches_in_opposition_box,passes_into_final_third,accurate_long_balls,dispossessed,xG_Non_penalty,tackles_won,clearances,headed_clearance,defensive_actions,recoveries,dribbled_past,duels_won,duels_lost,ground_duels_won,aerial_duels_won,was_fouled,fouls_commited,successful_dribbles,penalties_won,big_chances_missed,accurate_crosses
Defender,CB,Craig Dawson,1,False,6.8,1,90,False,0,0,,1,0,0,86,0,0,0,0,0,0,0,56,0,5,57,0,0,50,1,0,6,6,1,3,6,40,25,0,2,0,0,0,0
Defender,LB,Toti Gomes,1,False,7.7,2,90,False,0,0,,0,0,2,91,0,0.15,0.66,0,0.15,50,0,68,2,2,67,0,0.15,100,2,0,6,8,0,5,0,100,100,1,0,0,0,0,0
Midfielder,RM,Jean-Ricner Bellegarde,3,False,7.2,2,73,False,0,0,73,0,0,1,88,1,0.06,0,0.04,0.1,0,0,49,1,3,75,1,0.06,0,0,0,2,3,4,9,6,60,0,2,0,83,0,0,0
Midfielder,CM,Mario Lemina,3,False,8.7,7 + 3,90,False,1,0,,0,0,3,88,0,0.79,1.31,0.03,0.82,100,1,57,5,4,80,1,0.79,100,0,0,6,10,0,7,3,78,0,2,1,100,0,0,0
Midfielder,CM,Joao Gomes,3,False,7.9,1,87,False,0,0,87,1,0,2,92,1,0.1,0,0.1,0.2,0,2,70,0,4,50,0,0.1,50,0,0,8,9,2,6,5,50,100,1,3,100,0,0,50
Midfielder,LM,Rayan Ait Nouri,3,False,8.1,1,87,False,0,0,87,1,0,2,91,4,0.1,0,0.19,0.29,0,2,79,4,6,67,1,0.1,50,1,1,4,3,0,11,4,83,33,3,1,100,0,0,25
Midfielder,AM,Hee-Chan Hwang,4,False,6.8,2,90,False,0,0,,0,0,1,80,0,0.26,0,0.04,0.3,0,0,37,3,2,100,0,0.26,33,0,0,7,3,0,8,10,44,0,3,4,25,0,1,0
Attacker,ST,Matheus Cunha,5,False,7.7,5,90,False,0,1,,0,0,3,73,3,0.24,0,0.16,0.4,0,1,51,5,3,100,3,0.24,50,0,0,5,4,2,5,12,33,0,1,2,40,0,0,0
Attacker,ST,Brennan Johnson,5,False,7.7,8 + 1,75,False,1,0,75,0,0,2,73,0,0.41,0.92,0.02,0.43,50,0,41,3,5,50,0,0.41,100,0,0,2,5,0,3,2,60,0,2,1,0,0,0,0
Attacker,ST,Heung-Min Son,5,True,6.4,2,90,False,0,0,,0,0,1,80,1,0.12,0,0.05,0.17,0,1,38,0,4,50,2,0.12,0,1,1,1,1,1,4,4,43,100,2,0,50,0,0,0
Attacker,ST,Dejan Kulusevski,5,False,5.5,2,90,False,0,0,,0,0,1,85,1,0.03,0,0.08,0.11,0,1,47,8,2,100,3,0.03,0,0,0,4,5,5,2,15,7,50,1,4,0,0,0,0
Midfielder,CM,Pape Sarr,3,False,6.3,3,63,False,0,0,63,0,0,0,94,0,0,0,0.02,0.02,0,0,49,0,3,100,1,0,0,3,2,3,5,1,3,5,17,100,1,0,0,0,0,0
Midfielder,CM,Yves Bissouma,3,False,6.7,2,76,False,0,0,76,1,0,0,97,0,0,0,0.01,0.01,0,0,90,0,3,100,2,0,67,4,4,11,6,3,5,9,38,0,1,3,100,0,0,0
Midfielder,CM,Pierre-Emile Højbjerg,3,False,6.8,2,90,False,0,0,,0,0,0,85,1,0,0,0.03,0.03,0,0,99,0,11,50,0,0,0,2,1,6,4,3,4,5,50,0,3,1,0,0,0,0
Defender,LB,Emerson Royal,1,False,6.5,0,90,False,0,0,,1,0,0,94,0,0,0,0.02,0.02,0,0,90,1,3,100,3,0,0,4,2,8,8,3,6,9,42,33,1,1,100,0,0,0
Defender,CB,Ben Davies,1,False,6.8,1,90,False,0,0,,0,0,1,94,0,0.06,0,0.01,0.07,0,0,83,1,4,80,0,0.06,67,3,1,13,5,0,6,1,100,50,2,0,0,0,0,0
Defender,CB,Eric Dier,1,False,6.3,1,90,False,0,0,,0,0,0,94,0,0,0,0,0,0,0,89,0,4,20,0,0,50,5,3,8,1,0,4,2,100,50,0,0,0,0,0,0
Defender,RB,Pedro Porro,1,False,7.7,4 + 1,90,False,0,1,,0,0,0,72,2,0,0,0.62,0.62,0,0,97,1,8,50,1,0,50,5,3,12,4,4,8,7,53,0,2,2,100,0,0,33
