position,positionStringShort,name,positionRow,isCaptain,rating,fantasyScore,minutesPlayed,isGoalkeeper,goal,assist,subbedOutTime,yellowCard,redCard,total_shots,accurate_passes_rate(%),chances_created,expected_goals(xG),expected_goals_on_target(xGOT),expected_assists(xA),xG+xA,shot_accuracy(%),blocked_shots,touches,touches_in_opposition_box,passes_into_final_third,long_balls_accuracy(%),dispossessed,xG_Non_penalty,tackles_won_rate(%),clearances,headed_clearance,defensive_actions,recoveries,dribbled_past,duels_won,duels_lost,ground_duels_won_rate(%),aerial_duels_won_rate(%),was_fouled,fouls_commited,dribble_success_rate(%),penalties_won,big_chances_missed,crosses_success_rate(%)
Attacker,ST,Zeki Amdouni,5,FALSE,6.7,2,61,FALSE,0,0,61,0,0,1,91,0,0.03,0.02,0,0.03,100,0,25,0,0,0,1,0.03,100,1,1,2,4,0,6,5,63,33,2,0,50,0,0,0
Attacker,ST,Erling Haaland,5,FALSE,8.8,10 + 3,80,FALSE,2,0,80,0,0,4,82,2,0.57,1.12,0.05,0.62,67,1,22,0,0,0,2,0.57,0,1,0,2,3,0,3,5,40,33,2,1,0,0,0,0
Midfielder,LW,Phil Foden,4,FALSE,7.1,3,90,FALSE,0,0,,0,0,3,82,2,0.29,0.33,0.15,0.44,50,1,64,0,1,0,3,0.29,0,0,0,1,2,0,2,6,33,0,1,0,50,0,1,0
Midfielder,AM,Juli?n _lvarez,4,FALSE,8.2,5,90,FALSE,0,1,,0,0,3,87,6,0.35,0.02,0.37,0.72,50,1,55,0,1,100,1,0.35,100,0,0,2,2,1,3,6,40,25,1,1,0,0,0,40
Midfielder,RW,Bernardo Silva,4,FALSE,6.6,3,90,FALSE,0,0,,0,0,0,91,0,0,0,0.03,0.03,0,0,75,0,8,100,0,0,0,0,0,1,4,0,1,2,50,0,0,0,0,0,0,0
Midfielder,DM,Rodri,2,FALSE,9.1,11 + 2,90,FALSE,1,1,,0,0,4,97,1,0.5,1.24,0.17,0.67,100,1,125,0,15,83,1,0.5,60,0,0,7,8,0,6,3,63,100,0,2,0,0,0,0
Midfielder,DM,Kevin De Bruyne,2,FALSE,6.5,1,23,FALSE,0,0,23,0,0,1,67,1,0.02,0,0.16,0.18,0,0,12,0,1,0,0,0.02,0,0,0,1,2,0,0,1,0,0,0,1,0,0,0,67
Defender,LB,Rico Lewis,1,FALSE,7.2,6,79,FALSE,0,0,79,0,0,0,85,0,0,0,0.01,0.01,0,0,48,0,3,25,1,0,0,0,0,1,9,0,2,3,67,0,1,0,100,0,0,0
Defender,CB,Nathan Ak?,1,FALSE,7.8,6 + 1,79,FALSE,0,0,79,0,0,1,94,0,0.31,0,0.01,0.32,0,1,80,0,5,50,0,0.31,100,1,1,6,5,0,7,1,100,75,1,0,0,0,0,0
Defender,CB,Manuel Akanji,1,FALSE,7.4,6,90,FALSE,0,0,,0,0,0,88,0,0,0,0.01,0.01,0,0,109,0,6,33,0,0,33,2,2,6,2,2,7,3,60,80,0,0,0,0,0,0
Defender,RB,Kyle Walker,1,FALSE,7.5,6,89,FALSE,0,0,90,0,0,0,92,1,0,0,0.04,0.04,0,0,81,0,5,40,0,0,0,1,0,2,9,0,3,2,50,100,2,1,0,0,0,0
Keeper,GK,Ederson Moraes,0,FALSE,7.4,6,90,TRUE,0,0,,0,0,0,81,0,0,0,0.01,0,0,0,78,0,0,57,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0
Keeper,GK,Aaron Ramsdale,0,FALSE,6.3,2,90,TRUE,0,0,,0,0,0,76,0,0,0,0,0,0,0,32,0,0,33,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
Defender,RB,Thomas Partey,1,FALSE,7.8,2,90,FALSE,0,0,,0,0,0,94,2,0,0,0.06,0.06,0,0,116,0,20,50,1,0,50,0,0,5,9,2,3,5,50,0,0,0,100,0,0,0
